Year,Gender,Race,Age,Deaths,Population,CR,CR.100,Sex,Race1,Age1
1999,M,American Indian or Alaska Native,20-24,5,117865,4.24E-05,4.242141433,1,1,1
1999,F,American Indian or Alaska Native,25-29,2,106468,1.88E-05,1.878498704,0,1,2
1999,M,American Indian or Alaska Native,25-29,6,112551,5.33E-05,5.330916651,1,1,2
1999,F,American Indian or Alaska Native,30-34,3,105924,2.83E-05,2.832219327,0,1,3
1999,M,American Indian or Alaska Native,30-34,7,107912,6.49E-05,6.486766995,1,1,3
1999,F,American Indian or Alaska Native,35-39,5,117270,4.26E-05,4.263665046,0,1,4
1999,M,American Indian or Alaska Native,35-39,7,114524,6.11E-05,6.112255946,1,1,4
1999,F,American Indian or Alaska Native,40-44,7,108927,6.43E-05,6.426322216,0,1,5
1999,M,American Indian or Alaska Native,40-44,10,103043,9.70E-05,9.704686393,1,1,5
1999,F,American Indian or Alaska Native,45-49,2,90336,2.21E-05,2.213956784,0,1,6
1999,M,American Indian or Alaska Native,45-49,6,85195,7.04E-05,7.042666823,1,1,6
1999,F,American Indian or Alaska Native,50-54,3,71341,4.21E-05,4.205155521,0,1,7
1999,M,American Indian or Alaska Native,50-54,2,67122,2.98E-05,2.979648997,1,1,7
1999,M,American Indian or Alaska Native,55-59,2,47202,4.24E-05,4.237108597,1,1,8
1999,F,Asian or Pacific Islander,20-24,1,460727,2.17E-06,0.217048274,0,2,1
1999,M,Asian or Pacific Islander,20-24,1,463641,2.16E-06,0.215684118,1,2,1
1999,F,Asian or Pacific Islander,25-29,2,556197,3.60E-06,0.359584823,0,2,2
1999,M,Asian or Pacific Islander,25-29,3,531363,5.65E-06,0.564585792,1,2,2
1999,F,Asian or Pacific Islander,30-34,1,529667,1.89E-06,0.188797867,0,2,3
1999,M,Asian or Pacific Islander,30-34,2,490502,4.08E-06,0.407745534,1,2,3
1999,F,Asian or Pacific Islander,35-39,1,514740,1.94E-06,0.194272837,0,2,4
1999,M,Asian or Pacific Islander,35-39,5,481693,1.04E-05,1.038005535,1,2,4
1999,F,Asian or Pacific Islander,40-44,1,483359,2.07E-06,0.206885565,0,2,5
1999,M,Asian or Pacific Islander,40-44,7,435269,1.61E-05,1.608200906,1,2,5
1999,F,Asian or Pacific Islander,45-49,2,427529,4.68E-06,0.467804523,0,2,6
1999,M,Asian or Pacific Islander,45-49,3,369634,8.12E-06,0.81161365,1,2,6
1999,M,Asian or Pacific Islander,50-54,1,300193,3.33E-06,0.333119027,1,2,7
1999,F,Asian or Pacific Islander,55-59,1,237721,4.21E-06,0.420661195,0,2,8
1999,M,Asian or Pacific Islander,55-59,2,211740,9.45E-06,0.944554642,1,2,8
1999,F,Black or African American,20-24,10,1400773,7.14E-06,0.713891544,0,3,1
1999,M,Black or African American,20-24,47,1330173,3.53E-05,3.533374982,1,3,1
1999,F,Black or African American,25-29,21,1427024,1.47E-05,1.471594031,0,3,2
1999,M,Black or African American,25-29,90,1291042,6.97E-05,6.971113256,1,3,2
1999,F,Black or African American,30-34,64,1458386,4.39E-05,4.388412944,0,3,3
1999,M,Black or African American,30-34,141,1308656,0.000107744,10.77441283,1,3,3
1999,F,Black or African American,35-39,87,1564410,5.56E-05,5.561201987,0,3,4
1999,M,Black or African American,35-39,214,1387055,0.000154284,15.42837162,1,3,4
1999,F,Black or African American,40-44,116,1468119,7.90E-05,7.901266859,0,3,5
1999,M,Black or African American,40-44,276,1291354,0.000213729,21.37291556,1,3,5
1999,F,Black or African American,45-49,80,1229341,6.51E-05,6.507551607,0,3,6
1999,M,Black or African American,45-49,288,1060502,0.00027157,27.1569502,1,3,6
1999,F,Black or African American,50-54,29,957589,3.03E-05,3.028439132,0,3,7
1999,M,Black or African American,50-54,153,811874,0.000188453,18.8452888,1,3,7
1999,F,Black or African American,55-59,8,722150,1.11E-05,1.107803088,0,3,8
1999,M,Black or African American,55-59,51,589866,8.65E-05,8.646031472,1,3,8
1999,F,Black or African American,60-64 ,2,600993,3.33E-06,0.332782578,0,3,9
1999,M,Black or African American,60-64 ,34,471350,7.21E-05,7.213323433,1,3,9
1999,F,White,20-24,83,7127585,1.16E-05,1.164489796,0,4,1
1999,M,White,20-24,327,7581135,4.31E-05,4.313338306,1,4,1
1999,F,White,25-29,113,7606278,1.49E-05,1.485614909,0,4,2
1999,M,White,25-29,494,7944134,6.22E-05,6.218424815,1,4,2
1999,F,White,30-34,167,8155146,2.05E-05,2.047786759,0,4,3
1999,M,White,30-34,647,8447156,7.66E-05,7.659382637,1,4,3
1999,F,White,35-39,253,9277734,2.73E-05,2.726958975,0,4,4
1999,M,White,35-39,927,9425123,9.84E-05,9.83541541,1,4,4
1999,F,White,40-44,255,9135045,2.79E-05,2.791447661,0,4,5
1999,M,White,40-44,1046,9169012,0.00011408,11.4079903,1,4,5
1999,F,White,45-49,214,8240528,2.60E-05,2.596920974,0,4,6
1999,M,White,45-49,767,8151142,9.41E-05,9.409724429,1,4,6
1999,F,White,50-54,91,7271943,1.25E-05,1.251384946,0,4,7
1999,M,White,50-54,313,7099852,4.41E-05,4.408542601,1,4,7
1999,F,White,55-59,41,5754517,7.12E-06,0.712483776,0,4,8
1999,M,White,55-59,131,5470979,2.39E-05,2.39445262,1,4,8
1999,F,White,60-64 ,26,4784689,5.43E-06,0.543399999,0,4,9
1999,M,White,60-64 ,46,4407170,1.04E-05,1.043753701,1,4,9
2000,F,American Indian or Alaska Native,20-24,1,116339,8.60E-06,0.859556984,0,1,1
2000,M,American Indian or Alaska Native,25-29,7,115735,6.05E-05,6.048299996,1,1,2
2000,F,American Indian or Alaska Native,30-34,3,109855,2.73E-05,2.730872514,0,1,3
2000,M,American Indian or Alaska Native,30-34,6,113196,5.30E-05,5.300540655,1,1,3
2000,F,American Indian or Alaska Native,35-39,7,121285,5.77E-05,5.771529868,0,1,4
2000,M,American Indian or Alaska Native,35-39,6,119052,5.04E-05,5.039814535,1,1,4
2000,F,American Indian or Alaska Native,40-44,6,114950,5.22E-05,5.219660722,0,1,5
2000,M,American Indian or Alaska Native,40-44,11,109593,0.000100371,10.03713741,1,1,5
2000,F,American Indian or Alaska Native,45-49,5,96781,5.17E-05,5.166303303,0,1,6
2000,M,American Indian or Alaska Native,45-49,8,91534,8.74E-05,8.739921778,1,1,6
2000,F,American Indian or Alaska Native,50-54,1,77314,1.29E-05,1.293426805,0,1,7
2000,M,American Indian or Alaska Native,50-54,4,73452,5.45E-05,5.445733268,1,1,7
2000,M,American Indian or Alaska Native,55-59,2,51121,3.91E-05,3.912286536,1,1,8
2000,F,Asian or Pacific Islander,20-24,1,476805,2.10E-06,0.209729344,0,2,1
2000,M,Asian or Pacific Islander,20-24,4,479076,8.35E-06,0.834940594,1,2,1
2000,F,Asian or Pacific Islander,25-29,1,565811,1.77E-06,0.176737462,0,2,2
2000,M,Asian or Pacific Islander,25-29,5,550834,9.08E-06,0.907714484,1,2,2
2000,F,Asian or Pacific Islander,30-34,3,546539,5.49E-06,0.548908678,0,2,3
2000,M,Asian or Pacific Islander,30-34,6,522392,1.15E-05,1.148562765,1,2,3
2000,M,Asian or Pacific Islander,35-39,3,497047,6.04E-06,0.603564653,1,2,4
2000,M,Asian or Pacific Islander,40-44,6,449527,1.33E-05,1.334736289,1,2,5
2000,F,Asian or Pacific Islander,45-49,2,443856,4.51E-06,0.45059659,0,2,6
2000,M,Asian or Pacific Islander,45-49,6,386131,1.55E-05,1.553876793,1,2,6
2000,F,Asian or Pacific Islander,60-64 ,1,198864,5.03E-06,0.502856223,0,2,9
2000,F,Black or African American,20-24,11,1433907,7.67E-06,0.767134828,0,3,1
2000,M,Black or African American,20-24,31,1360383,2.28E-05,2.278770023,1,3,1
2000,F,Black or African American,25-29,17,1415587,1.20E-05,1.200915239,0,3,2
2000,M,Black or African American,25-29,77,1281456,6.01E-05,6.008790001,1,3,2
2000,F,Black or African American,30-34,57,1450022,3.93E-05,3.93097484,0,3,3
2000,M,Black or African American,30-34,110,1304434,8.43E-05,8.432776208,1,3,3
2000,F,Black or African American,35-39,100,1563679,6.40E-05,6.395174457,0,3,4
2000,M,Black or African American,35-39,207,1386896,0.000149254,14.92541618,1,3,4
2000,F,Black or African American,40-44,103,1490950,6.91E-05,6.908347027,0,3,5
2000,M,Black or African American,40-44,289,1317791,0.000219306,21.93063999,1,3,5
2000,F,Black or African American,45-49,84,1264346,6.64E-05,6.643750999,0,3,6
2000,M,Black or African American,45-49,277,1096126,0.000252708,25.27081741,1,3,6
2000,F,Black or African American,50-54,47,1009332,4.66E-05,4.656545121,0,3,7
2000,M,Black or African American,50-54,184,860621,0.000213799,21.37991055,1,3,7
2000,F,Black or African American,55-59,12,740990,1.62E-05,1.619455053,0,3,8
2000,M,Black or African American,55-59,59,607295,9.72E-05,9.715212541,1,3,8
2000,F,Black or African American,60-64 ,5,611886,8.17E-06,0.817145677,0,3,9
2000,M,Black or African American,60-64 ,19,482966,3.93E-05,3.934024341,1,3,9
2000,F,White,20-24,76,7249136,1.05E-05,1.048400803,0,4,1
2000,M,White,20-24,391,7722976,5.06E-05,5.062815163,1,4,1
2000,F,White,25-29,114,7491633,1.52E-05,1.521697606,0,4,2
2000,M,White,25-29,444,7850735,5.66E-05,5.655521426,1,4,2
2000,F,White,30-34,156,8082203,1.93E-05,1.930166812,0,4,3
2000,M,White,30-34,601,8381747,7.17E-05,7.170342889,1,4,3
2000,F,White,35-39,251,9176169,2.74E-05,2.735346308,0,4,4
2000,M,White,35-39,892,9315701,9.58E-05,9.575232181,1,4,4
2000,F,White,40-44,289,9210111,3.14E-05,3.137855776,0,4,5
2000,M,White,40-44,1038,9252191,0.00011219,11.21896424,1,4,5
2000,F,White,45-49,209,8397915,2.49E-05,2.488712972,0,4,6
2000,M,White,45-49,831,8315715,9.99E-05,9.99312747,1,4,6
